"","FIPS","impact","obama2008","romney2012","storm"
"2412","47037",0,0.5988850866,0.4,0
"2413","47039",0,0.3273809524,0.68,0
"2414","47041",0,0.4008492569,0.65,0
"2415","47043",0,0.3845838458,0.63,0
"2416","47045",0,0.3052595156,0.72,0
"2417","47047",0,0.3580972186,0.65,0
"2418","47049",0,0.2717020329,0.76,0
"2419","47051",0,0.3793479509,0.64,0
"2420","47053",0,0.3484684515,0.66,0
"2421","47055",0,0.3947300881,0.64,0
"2422","47057",0,0.2752599307,0.75,0
"2423","47059",1,0.2881410906,0.72,0
"2424","47061",0,0.4254537597,0.59,0
"2425","47063",0,0.3002780352,0.73,0
